step,observe/obs_s_theta_mean_mean,episode/success_rate,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,val/success_rate
109,1.9374205662656216,0.5625,3.328137055523257,4.159120118318242,-0.3156785016152573,0.8052844669307291,
110,1.836711173462268,0.71875,3.099309213488596,3.964890821836889,-0.3212852746730035,0.7148812867127768,0.71875
111,1.842635478633477,0.625,3.088974911929108,3.9585703873075535,-0.3223101290335526,0.776605688043613,
112,1.9900452631888697,0.7109375,3.049731994006184,3.9237561296655,-0.3618733674992088,0.7175712818315593,
113,1.8013013172292718,0.75,3.307254343987622,4.263281346925606,-0.3066339872752224,0.7453500484699851,
114,1.9022337765523945,0.6484375,3.226163165345012,4.113261751411483,-0.3202664329183446,0.8529591314132025,
115,1.801007087937584,0.7734375,2.9999195721757133,3.873782435914368,-0.3136790391586671,0.7201918690722907,
116,1.8440046594769688,0.6796875,3.243561376351863,4.125735040001261,-0.306609889650607,0.9024886845071404,
117,1.871730206924482,0.8203125,3.217843974697947,4.129009748595611,-0.3111008118347989,0.5523529125481824,
118,1.8016635221008663,0.578125,3.435804399141275,4.369596839053831,-0.2936742956942724,0.8170702369465931,
119,1.7618614435274167,0.625,3.337545208671751,4.21027085032935,-0.2824775181466847,0.8019854171856423,
120,1.800631850626517,0.5625,3.305022952920648,4.196264210348839,-0.3018684879350357,0.7418193960885915,0.71875
121,1.9870632619238568,0.671875,3.3044504615578,4.126537956829582,-0.3415236649524302,0.6943309588234895,
122,1.855066760824117,0.71875,3.118527450199084,3.908688994062444,-0.3206405216290257,0.587928239277547,
123,1.933787758907601,0.875,3.314433983029713,4.168425631180236,-0.3251223928742675,0.4577878892671585,
124,2.044589519641632,0.5078125,3.355274328342228,4.198262929779423,-0.3637192870894308,0.9773214060795212,
125,1.7455875567894168,0.7109375,3.151077526184963,3.983115727015372,-0.2967659268619407,0.7465955199148604,
126,1.8295570942198096,0.5859375,3.229156815661554,3.9934239329886623,-0.3145138425386009,0.9378260739952112,
127,1.723544634725109,0.4921875,3.331314181317188,4.10986185580906,-0.3340521543259449,0.9270568034402864,
128,1.7962539099748571,0.6796875,3.1528846490770004,3.9579624109185088,-0.3503870664979465,0.819491460993539,
129,1.9476394381337296,0.5625,2.990616715975193,3.793111703489558,-0.3831636885278822,0.8796808267933045,
130,1.7742541207272235,0.59375,2.9535488722987275,3.777560749107839,-0.3255264437140736,0.9301566335109328,0.7734375
131,1.710079474847035,0.8359375,3.062531210080488,3.979745809128508,-0.3140583026101979,0.6034569635883372,
132,1.7114147398283464,0.7421875,2.9616678285965463,3.884742722264491,-0.3457815255568026,0.6206124989878768,
133,1.9636789971441808,0.8046875,2.9480260769972424,3.825862186922071,-0.364799177386569,0.5375615671782725,
134,1.845774716038756,0.7578125,3.0633777368527197,3.9678767444744993,-0.35926898625433,0.6065291903604213,
