_step,observe/obs_s_theta_mean_mean,observe/obs_s_theta_mean_std,observe/obs_s_ref_mean_mean,observe/obs_s_ref_mean_std,observe/obs_delta_s_mean_mean,observe/obs_delta_s_mean_std,observe/obs_delta_s_sum_mean,observe/obs_delta_s_sum_std,observe/obs_consecutive_s_mean,observe/obs_consecutive_s_std,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_step_entropy_mean_mean,observe/obs_step_entropy_mean_std,observe/success_s_theta_mean,observe/failure_s_theta_mean,observe/success_entropy_mean,observe/failure_entropy_mean,observe/obs_n_tokens_mean,episode/success_rate,episode/reward/mean,episode/webshop_task_score (not success_rate),val/success_rate,val/webshop_task_score (not success_rate),actor/entropy_loss,actor/kl_loss,actor/ppo_kl
440,2.56060575848477,0.5915320891998282,2.711899061012023,0.7566467715259658,-0.151293302527253,0.1887022083716897,-97.1421352185701,24.61417328487923,-0.10568905614062316,0.7723333533094906,3.2005834551405554,3.881700680836251,1.1241466382420378,0.36379476371096386,2.61608457136353,2.5273184707575136,1.147369235754013,1.1102130797348524,1015.0888157894736,0.46875,4.6875,0.5729166666666666,0.6875,0.8098958333333333,1.1676452159881592,0.3925011157989502,0.002217449892261931
460,2.0860512683860963,0.8485010489282999,2.191456977378459,1.0061179066732309,-0.10540570899236278,0.18901594012017817,-51.84261540004185,52.23168278774875,-0.15784149351693064,0.9837399270218504,2.500033401258822,3.220745601398604,1.1955723634255784,0.48702824792264876,2.2312105959202166,1.9345345980402635,1.0894772969967836,1.3063139291140284,1270.8,0.71875,7.1875,0.71875,0.40625,0.5467126623376624,1.265545129776001,0.3358456790447235,0.00027503177713827297
480,2.110918348423772,1.0233841791742848,2.2645597935230812,1.2010497017660635,-0.15364144509930963,0.2114760183608984,-83.34352808413298,46.037394898190286,-0.2831867954922479,1.1673725982216008,1.4471749439633086,2.0548961803964945,0.957876417947852,0.4194720019008109,1.9946617200036871,2.2064559737590885,0.9398636814341488,0.9726789637957469,1205.8967391304348,0.40625,4.0625,0.9119047619047619,0.84375,0.9405505952380953,0.9971704483032227,0.260163277387619,0.0012595414235598266
500,2.219357262704868,0.7517823468986705,2.3173966205928345,0.8793856226825512,-0.09803935788796661,0.16804231666725167,-49.77912940979004,50.440076262818444,-0.1397882061580129,0.8601727053633202,2.4384988307836464,3.073027316480875,0.9466819286346435,0.3299666057650418,2.176925326907644,2.2511232474273797,0.8898162837446171,0.9892534769949366,1069.6875,0.5625,5.625,0.7017045454545455,0.625,0.7699652777777778,0.9737414717674255,0.37071770429611206,0.0013994484026625287
520,2.206417277176861,0.8429021157794141,2.315366451101918,0.9877163752118642,-0.10894917392505654,0.18787436495037796,-50.21373540704901,59.33064286261725,-0.21055761806046386,0.9465303334165044,2.246665594026898,2.8275841052333512,1.12412871324429,0.3995305809744197,2.090490582687228,2.430542219856819,1.0867262526318944,1.1964401370949216,1141.1363636363637,0.75,7.5,0.8178571428571428,0.75,0.9026154401154401,1.1624512672424316,0.36344653367996216,0.0013916680350534575
540,2.3486559491530463,0.7439185661299593,2.4456857931223217,0.8838091253484033,-0.0970298439692759,0.1833842987988252,-47.135463290744354,52.06923013020835,-0.14872177037757878,0.9246937917677187,2.651776608532398,3.271609678036637,1.0490651390411787,0.3472094456336726,2.246527416191028,2.394331524196361,0.9884322446383788,1.0761823631710743,1132.5868055555557,0.46875,4.6875,0.6510416666666667,0.625,0.6741071428571429,1.0870208740234375,0.31782105565071106,6.107974612253504e-05
560,2.145806690641443,0.918250386270656,2.2687915365246587,1.089822149848228,-0.12298484588321543,0.21017829403963692,-57.591475350516184,55.4273905947434,-0.24497221865828495,1.0579776815099309,1.9573544297683318,2.6002260792468275,1.199982144736818,0.45415654073784084,2.158630777001308,2.1280712520586516,1.1472717803258163,1.272879457220118,1239.888392857143,0.6875,6.875,0.7375,0.625,0.7189596861471861,1.254891276359558,0.3218897879123688,0.0006016966542087435
580,2.209112051467049,0.8714214653659589,2.323317899419362,1.0328296670448982,-0.11420584795231246,0.20364156492294544,-53.95191304823931,54.31936669240399,-0.18715331051370976,1.018782407206495,2.4781681165126535,3.0898138381102505,0.9161245664581656,0.32756013564176656,2.035684612108988,2.4494763972440112,0.8522279332332974,1.0046830581207025,1204.9632352941176,0.71875,7.1875,0.741796875,0.625,0.8133549783549783,0.9381915330886841,0.30486437678337097,0.0011726573427628918
600,2.2153815264393173,0.9872338696483922,2.3867416160684476,1.199748189288597,-0.1713600896291303,0.24817435171389507,-73.5071534656343,52.766982750331636,-0.3460266448767281,1.103365795166097,1.5427257588931493,2.0334172491871176,0.7752661448681638,0.27780213445171403,2.1538456050640953,2.3942650188091483,0.7719786450862884,0.7848228302805923,1128.5059523809523,0.75,7.5,0.9722222222222222,0.6875,0.8243303571428572,0.7963225245475769,0.30983930826187134,-4.657234612317379e-05
620,2.176531902951611,0.7965525725037141,2.3237072651988844,0.9743059621020246,-0.14717536224727354,0.21752046867917624,-84.7680892944336,55.00599608524562,-0.14835427567261067,0.9656632567254967,2.6328670483263625,3.279271317231986,0.9523837680721449,0.29874261498368304,2.115515901840344,2.2080033140511066,0.8335291042315717,1.013687752579388,1190.09375,0.5,5.0,0.59375,0.65625,0.786679292929293,0.9711534380912781,0.4641300439834595,0.0014190901953649397
640,2.302926238648859,0.8218487904473635,2.4891816733674217,1.02677397113277,-0.18625543471856298,0.24772137861372007,-104.11723034198468,53.749815136575656,-0.248612708007942,0.9255661190484192,2.0429196731330683,2.631428898527072,1.0758413226845174,0.37413364353006284,2.364131565980233,2.128377712555682,1.0798496981332828,1.0644100297380377,1126.4471153846155,0.71875,7.1875,0.8910984848484849,0.8125,0.8687094155844156,1.1156505346298218,0.3872869908809662,0.0017440125592167112
